0.526          152,228,226
0.517          127,253,224
0.496          155,253,223
0.502          130,1,244
0.528          141,16,203
0.518          156,17,255
0.499          157,234,251
0.505          140,10,217
0.526          121,250,17
0.518          118,252,192
0.500          151,247,232
0.504          125,242,221
0.529          141,249,232
0.519          133,7,253
0.511          134,254,226
0.515          137,2,237
0.492          136,244,232
0.524          159,229,198
0.556          120,2,252
0.521          150,1,208
0.508          144,255,199
0.516          138,235,5
0.520          140,254,216
0.518          137,7,232
0.495          134,249,245
0.507          138,3,249
0.533          126,14,189
0.520          156,3,255
0.500          125,2,220
0.509          111,254,191
0.527          136,249,225
0.525          146,2,234
0.501          137,249,232
0.500          127,0,245
0.527          139,46,239
0.518          151,17,196
0.498          127,248,192
0.511          113,249,3
0.529          159,221,206
0.519          147,1,4
0.498          156,226,239
0.506          130,253,247
0.528          171,254,192
0.526          148,254,223
0.502          166,241,237
0.504          111,234,236
0.532          166,220,225
0.522          130,15,238
0.504          149,247,223
0.542          146,2,251
0.512          134,249,153
0.537          160,219,66
0.518          104,18,52
0.506          213,232,129
0.502          49,34,0
0.519          230,239,105
0.528          77,28,187
0.504          150,215,192
0.504          157,255,10
0.514          125,9,180
0.539          150,247,169
0.518          154,23,19
0.498          152,3,216
0.507          119,36,236
0.533          170,8,37
0.516          82,2,146
0.504          164,218,49
0.507          134,7,181
0.534          145,4,255
0.523          115,249,213
0.510          140,14,17
0.505          127,5,198
0.529          147,17,18
0.528          138,13,134
0.511          157,248,112
0.508          132,247,143
0.512          122,10,231
0.556          173,254,57
0.535          75,10,136
0.511          168,215,247
0.517          94,13,120
0.505          197,231,27
0.533          66,17,188
0.515          229,252,144
0.489          81,32,30
0.505          221,239,116
0.530          80,37,120
0.529          221,230,75
0.499          93,15,208
0.503          180,230,17
0.523          101,19,209
0.519          172,252,214
0.519          127,0,230
0.493          170,251,209
0.505          120,248,253
0.530          138,240,40
0.520          116,12,202
0.501          159,231,227
0.509          142,19,229
0.529          154,19,22
0.526          142,240,179
0.500          142,251,11
0.502          127,16,16
0.528          149,1,182
0.520          135,3,203
0.506          159,24,246
0.506          114,245,222
0.525          154,246,219
0.528          146,236,10
0.508          136,240,162
0.540          144,254,239
0.534          144,2,11
0.518          157,244,247
0.511          146,245,223
0.523          144,249,9
0.502          117,23,178
0.505          160,23,206
0.522          129,22,242
0.520          159,245,194
0.510          129,254,232
0.515          145,238,235
0.500          130,13,187
0.524          131,228,202
0.519          145,14,14

